ISBN,Title,Quantity,Description,Authors,Publisher,Published,Pages,Language,Location,Date
9780130473943,Elements of Chemical Reaction Engineering,1,"The Definitive, Fully Updated Guide to Solving Real-World Chemical Reaction Engineering Problems The fourth edition of Elements of Chemical Reaction Engineering is a completely revised version of the worldwide best-selling book. It combines authoritative coverage of the principles of chemical reaction engineering with an unsurpassed focus on critical thinking and creative problem solving, employing open-ended questions and stressing the Socratic method. Clear and superbly organized, it integrates text, visuals, and computer simulations to help readers solve even the most challenging problems through reasoning, rather than by memorizing equations. Thorough coverage of the fundamentals of chemical reaction engineering forms the backbone of this trusted text. To enhance the transfer of core skills to real-life settings, three styles of problems are included for each subject Straightforward problems that reinforce the material Problems that allow students to explore the issues and look for optimum solutions Open-ended problems that encourage students to practice creative problem-solving skills H. Scott Fogler has updated his classic text to provide even more coverage of bioreactions, industrial chemistry with real reactors and reactions, and an even broader range of applications, along with the newest digital techniques, such as FEMLAB. The fourth edition of Elements of Chemical Reaction Engineering contains wide-ranging examples—from smog to blood clotting, ethylene oxide production to tissue engineering, antifreeze to cobra bites, and computer chip manufacturing to chemical plant safety. About the CD-ROM The CD-ROM offers numerous enrichment opportunities for both students and instructors, including the following Learning Resources: Summary Notes: Chapter-specific interactive material to address the different learning styles in the Felder/Solomon learning-style index Learning Resources: Web modules, reactor lab modules, interactive computer modules, solved problems, and problem-solving heuristics Living Example Problems: More than fifty-five interactive simulations in POLYMATH software, which allow students to explore the examples and ask “what-if” questions Professional Reference Shelf: Advanced content, ranging from collision and transition state theory to aerosol reactors, DFT, runaway reactions, and pharmacokinetics Additional Study Materials: Extra homework problems, course syllabi, and Web links to related material Latest Software to Solve “Digital Age” Problems: FEMLAB to solve PDEs for the axial and radial concentration and temperature profiles, and Polymath to do regression, solve nonlinear equations, and solve single and coupled ODEs Throughout the book, icons help readers link concepts and procedures to the material on the CD-ROM for fully integrated learning and reference.",H. Scott Fogler,Prentice Hall,2006-01-01,1080,English,Unknown,2024-06-24T13:21:52-06:00
9780321500632,Student Solutions Manual for University Physics Vol 1,1,,"Hugh D. Young, Albert Lewis Ford, Roger A. Freedman",Addison-Wesley,2008-01-01,,English,Unknown,2024-06-24T13:22:10-06:00
9780321500380,,1,,,,,,,Unknown,2024-06-24T13:22:26-06:00
9780136331247,Physics,1,"For algebra-based, first-year physics courses. Designed to make the study of physics not only more understandable, but enjoyable, for students, this text includes a combination of features that ensure students are not lost at any stage of the course. A friendly, caring tone; clear, well-organized chapters; information presented in manageable segments; and a unique step-by-step approach to examples-with an emphasis on logical thought processes-make the text both easy to teach and learn from. *Two-column examples-Step-by-step examples that present the logical thought processes. Provides students with a clear translation between the physical ideas and their mathematical expression. *ActiveExamples-Breaks problems down into a series of manageable steps, giving the correct result *Helps students bridge the gap between examples they read passively and homework problems they must work on their own. *Conceptual Checkpoints-Stresses conceptual understanding. *Problem-solving summary-Addresses common sources of misconceptions in problem solving and gives specific references to examples illustrating the correct procedures. *Qualitative questions, with answers. Students can use these questio",James S. Walker,,2002-01-01,,English,Unknown,2024-06-24T13:22:39-06:00
9780521876223,Introduction to Classical Mechanics,1,"This textbook covers all the standard introductory topics in classical mechanics, including Newton's laws, oscillations, energy, momentum, angular momentum, planetary motion, and special relativity. It also explores more advanced topics, such as normal modes, the Lagrangian method, gyroscopic motion, fictitious forces, 4-vectors, and general relativity. It contains more than 250 problems with detailed solutions so students can easily check their understanding of the topic. There are also over 350 unworked exercises which are ideal for homework assignments. Password protected solutions are available to instructors at www.cambridge.org/9780521876223. The vast number of problems alone makes it an ideal supplementary text for all levels of undergraduate physics courses in classical mechanics. Remarks are scattered throughout the text, discussing issues that are often glossed over in other textbooks, and it is thoroughly illustrated with more than 600 figures to help demonstrate key concepts.",David Morin,Cambridge University Press,2008-01-10,734,English,Unknown,2024-06-24T13:22:50-06:00
8185015538,Classical Mechanics,1,,Herbert Goldstein,,1980-01-01,684,English,Unknown,2024-06-24T13:23:23-06:00
9780898716122,A Course in Mathematical Biology,1,"This is the only book that teaches all aspects of modern mathematical modeling and that is specifically designed to introduce undergraduate students to problem solving in the context of biology. Included is an integrated package of theoretical modeling and analysis tools, computational modeling techniques, and parameter estimation and model validation methods, with a focus on integrating analytical and computational tools in the modeling of biological processes. Divided into three parts, it covers basic analytical modeling techniques; introduces computational tools used in the modeling of biological problems; and includes various problems from epidemiology, ecology, and physiology. All chapters include realistic biological examples, including many exercises related to biological questions. In addition, 25 open-ended research projects are provided, suitable for students. An accompanying Web site contains solutions and a tutorial for the implementation of the computational modeling techniques. Calculations can be done in modern computing languages such as Maple, Mathematica, and MATLAB?.","Gerda de Vries, Thomas Hillen, Mark Lewis, Johannes M?ller, Birgitt Sch?nfisch",SIAM,2006-07-01,307,English,Unknown,2024-06-24T13:23:34-06:00
9780521575720,Analytical Mechanics,1,"This introductory undergraduate text provides a detailed introduction to the key analytical techniques of classical mechanics, one of the cornerstones of physics. It deals with all the important subjects encountered in an undergraduate course and thoroughly prepares the reader for further study at graduate level. The authors set out the fundamentals of Lagrangian and Hamiltonian mechanics early in the book and go on to cover such topics as linear oscillators, planetary orbits, rigid-body motion, small vibrations, nonlinear dynamics, chaos, and special relativity. A special feature is the inclusion of many ""e-mail questions,"" which are intended to facilitate dialogue between the student and instructor. It includes many worked examples, and there are 250 homework exercises to help students gain confidence and proficiency in problem-solving. It is an ideal textbook for undergraduate courses in classical mechanics, and provides a sound foundation for graduate study.","Louis N. Hand, Janet D. Finch",Cambridge University Press,1998-11-13,592,English,Unknown,2024-06-24T13:23:43-06:00
852268904,Crystallography for Solid State Physics,1,,"Ajit Ram Verma, Onkar Nath Srivastava",,1982-01-01,348,English,Unknown,2024-06-24T13:25:36-06:00
9780471105596,"Fundamentals of Physics, Extended",1,"This popular book incorporates modern approaches to physics. It not only tells readers how physics works, it shows them. Applications have been enhanced to form a bridge between concepts and reasoning.","David Halliday, Robert Resnick, Jearl Walker",Wiley,1996-10-31,1080,English,Unknown,2024-06-24T13:25:49-06:00
9780878916375,The Best Test Preparation for the Gre Graduate Record Examination in Mathematics,1,"This test preparation book includes six full-length exams with detailed explanations based on official exams released by the administrator of the GRE in Mathematics. Knowledge of algebra, calculus, and introductory real variable theory is tested. Includes a comprehensive review of mathematics topics found on the exam. For mathematics students bound for graduate school.","Om Prakash Agrawal (Ph. D.), Research and Education Association",Research & Education Association,1996-01-01,621,English,Unknown,2024-06-24T13:29:04-06:00
9780131437388,Differential Equations,1,"Combining traditional material with a modern systems approach, this handbook provides a thorough introduction to differential equations, tempering its classic ""pure math"" approach with more practical applied aspects. Features up-to-date coverage of key topics such as first order equations, matrix algebra, systems, and phase plane portraits. Illustrates complex concepts through extensive detailed figures. Focuses on interpreting and solving problems through optional technology projects. For anyone interested in learning more about differential equations.","John C. Polking, Albert Boggess, David Arnold",Prentice Hall,2006-01-01,664,English,Unknown,2024-06-24T13:29:16-06:00
9780470133903,Beginning Partial Differential Equations,1,"A rigorous, yet accessible, introduction to partial differential equations—updated in a valuable new edition Beginning Partial Differential Equations, Second Edition provides a comprehensive introduction to partial differential equations (PDEs) with a special focus on the significance of characteristics, solutions by Fourier series, integrals and transforms, properties and physical interpretations of solutions, and a transition to the modern function space approach to PDEs. With its breadth of coverage, this new edition continues to present a broad introduction to the field, while also addressing more specialized topics and applications. Maintaining the hallmarks of the previous edition, the book begins with first-order linear and quasi-linear PDEs and the role of characteristics in the existence and uniqueness of solutions. Canonical forms are discussed for the linear second-order equation, along with the Cauchy problem, existence and uniqueness of solutions, and characteristics as carriers of discontinuities in solutions. Fourier series, integrals, and transforms are followed by their rigorous application to wave and diffusion equations as well as to Dirichlet and Neumann problems. In addition, solutions are viewed through physical interpretations of PDEs. The book concludes with a transition to more advanced topics, including the proof of an existence theorem for the Dirichlet problem and an introduction to distributions. Additional features of the Second Edition include solutions by both general eigenfunction expansions and numerical methods. Explicit solutions of Burger's equation, the telegraph equation (with an asymptotic analysis of the solution), and Poisson's equation are provided. A historical sketch of the field of PDEs and an extensive section with solutions to selected problems are also included. Beginning Partial Differential Equations, Second Edition is an excellent book for advanced undergraduate- and beginning graduate-level courses in mathematics, science, and engineering.",Peter V. O'Neil,Wiley-Interscience,2008-04-04,504,English,Unknown,2024-06-24T13:31:15-06:00
201172089,Differential Equations,1,"This text takes a strong mathematical modeling approach. By integrating modeling throughout the text, the authors provide a better intuitive understanding of the concepts presented. They also take what students learned in calculus and apply it to real-world problems. The text is loaded with relevant applications, many of which are engineering-oriented. The text includes coverage of phase-plane analysis and control systems.","Frank R. Giordano, Maurice D. Weir",Addison Wesley Publishing Company,1991-01-01,786,English,Unknown,2024-06-24T13:31:59-06:00
9780521769433,"The Quantum Theory of Fields, Volume III - Supersymmetry",1,,Stephen Weinberg,Cambridge University Press,2000,419,,,
,Differential Equations with Applications and Historical Notes,1,,George F. Simmons,McGraw-Hill,1972,465,,,
9780470383292,C++ for Everyone,1,,Cay Horstmann,Wiley,2009,498,English,,
